speaker_id	conversation_id	derailed	word_count	utterance_count	mean_abs_z	max_z	z_future-progressive-conditional-active	z_future-progressive-indicative-active	z_future-simple-conditional-active	z_future-simple-conditional-passive	z_future-simple-indicative-active	z_future-simple-indicative-passive	z_none-perfect-infinitival-active	z_none-perfect-infinitival-passive	z_none-progressive-infinitival-active	z_none-progressive-participle-passive	z_none-simple-infinitival-active	z_none-simple-infinitival-passive	z_none-simple-participle-active	z_none-simple-participle-passive	z_past-perfect-conditional-active	z_past-perfect-conditional-passive	z_past-perfect-indicative-active	z_past-perfect-indicative-passive	z_past-perfect-progressive-indicative-active	z_past-progressive-conditional-active
Sirex98	146743638.12652.12652	0	204	3	0.4571	0.9716	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2642	-0.7929	0.0000	0.0921	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2005	146743638.12652.12652	0	86	1	0.7581	1.3401	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Ferociouslettuce	240149353.16332.16332	0	322	3	0.4112	0.7096	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.6043	0.0000	-0.2867	0.0000	0.0000	0.0000	0.0000	-0.3754	0.0000	0.0000
Extransit	240149353.16332.16332	0	60	1	0.8505	1.0682	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Daicaregos	408375548.1540.1540	0	52	3	0.6988	1.4854	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.1139	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Rodhullandemu	184206224.2971.2971	0	150	3	0.3837	0.7421	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0585	0.0000	-0.2387	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AnemoneProjectors	184206224.2971.2971	0	39	1	1.5486	2.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Phil Sandifer	144384425.3276.3276	0	74	2	0.2838	0.5905	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Melsaran	144384425.3276.3276	0	15	1	1.7115	3.3029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.3029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TreasuryTag	144384425.3276.3276	0	32	1	1.8009	2.2834	0.0000	0.0000	0.0000	0.0000	2.2640	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Tony Sidaway	60188809.28844.28844	0	21	1	2.0533	3.1418	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.9309	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Zora	45234304.62193.62193	0	129	2	0.5570	1.5558	0.0000	0.0000	0.0000	0.0000	-0.1847	0.0000	0.2313	0.0000	0.0000	0.0000	-0.9407	0.0000	-0.1243	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Zereshk	45234304.62193.62193	0	23	1	2.2711	3.3426	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
69.196.139.250	45234304.62193.62193	0	27	1	3.2337	3.7626	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Caspian blue	324215291.8824.8824	0	27	3	1.0286	1.6243	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Beeblebrox	324215291.8824.8824	0	71	1	1.4326	3.8329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Friday	143548887.1630.1630	0	46	3	1.2631	2.6837	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Trey	143548887.1630.1630	0	49	3	0.5856	1.1978	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Majorly	143548887.1630.1630	0	32	1	1.1039	1.9624	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7519	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Rgoodermote	202169381.11823.11823	0	18	2	5.0381	5.2365	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Persian Poet Gal	202169381.11823.11823	0	12	1	2.5672	4.5033	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.5033	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Mike 7	74631077.12510.12510	0	22	2	1.2169	1.8360	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Bhadani	74631077.12510.12510	0	15	1	0.1201	0.1201	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Neutralhomer	238913081.21606.21606	0	44	3	1.5799	3.2755	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Lasttiger	215798673.8775.8775	0	85	3	0.5794	1.4595	0.0000	0.0000	0.0000	0.0000	1.4595	0.0000	0.0000	0.0000	0.0000	0.0000	0.1958	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
JuJube	215798673.8775.8775	0	11	1	6.3772	8.0393	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Vgamer101	215798673.8775.8775	0	160	1	0.5528	1.5017	0.0000	0.0000	0.0000	0.0000	0.9614	0.0000	0.0000	0.0000	0.0000	0.0000	-0.5987	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Liam20112011	434004839.10274.10274	0	60	3	0.9948	2.1239	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.2986	0.0000	0.8158	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Noformation	434004839.10274.10274	0	46	2	1.7484	4.2717	0.0000	0.0000	0.0000	0.0000	1.2729	1.4630	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AGK	115857386.6977.6977	0	91	2	0.6809	1.6853	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.7075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
SynergyStar	115857386.6977.6977	0	38	2	1.2806	1.9948	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8332	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ChildofMidnight	325725436.7007.7007	0	20	3	4.4188	5.2908	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.9143	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AgnosticPreachersKid	325725436.7007.7007	0	99	1	0.7900	1.9464	0.0000	0.0000	0.0000	0.0000	0.0601	0.0000	0.0000	0.0000	0.0000	0.0000	-0.7715	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Duckecho	13760425.74698.74698	0	68	2	0.5564	1.4123	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
GordonWatts	13760425.74698.74698	0	48	1	1.0210	1.5961	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Ted87	72044395.15069.15069	0	83	2	0.6895	1.5992	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5992	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Mad$	72044395.15069.15069	0	38	1	0.9052	1.7834	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3965	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
146.244.138.26	72044395.15069.15069	0	70	1	0.4546	1.2482	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5647	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Fnlayson	436369509.11559.11559	0	79	3	0.3994	0.8510	0.0000	0.0000	0.0000	0.0000	0.3266	0.4799	0.0000	0.0000	0.0000	0.0000	-0.5873	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Dave1185	436369509.11559.11559	0	28	1	0.6773	1.0734	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0734	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThinkBlue	204134114.13536.13536	0	61	4	0.9187	2.4242	0.0000	0.0000	1.6561	0.0000	2.4242	0.0000	0.0000	0.0000	0.0000	0.0000	-0.3182	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
